Info 0    [10:07:41.092] Starting TS Server
Info 47   [10:07:55.085] Different program with same set of files:: structureIsReused:: 2
Info 48   [10:07:57.746] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 49   [10:07:59.677] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: true Elapsed: 1930.4271880006418ms
Info 50   [10:07:59.677] Project '/dev/null/inferredProject1*' (Inferred)
Info 51   [10:07:59.677] 	Files (323)

Info 52   [10:07:59.677] -----------------------------------------------
Info 53   [10:07:59.678] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 54   [10:07:59.691] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false Elapsed: 12.697426000609994ms
Info 55   [10:07:59.691] Different program with same set of files:: structureIsReused:: 2
Info 56   [10:07:59.692] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 57   [10:07:59.705] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false Elapsed: 12.953696999698877ms
Info 58   [10:07:59.705] Different program with same set of files:: structureIsReused:: 2
Info 59   [10:07:59.705] getCompletionData: Get current token: 0.02116999961435795
Info 60   [10:07:59.705] getCompletionData: Is inside comment: 0.031479000113904476
Info 61   [10:07:59.705] getCompletionData: Get previous token 1: 0.026399999856948853
Info 62   [10:07:59.705] getCompletionsAtPosition: isCompletionListBlocker: 0.0024039996787905693
Info 63   [10:07:59.707] getCompletionData: Semantic work: 1.233784000389278
Info 64   [10:07:59.707] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.03031700011342764
Info 65   [10:07:59.717] getCompletionData: Get current token: 0.01412699930369854
Info 66   [10:07:59.717] getCompletionData: Is inside comment: 0.029606000520288944
Info 67   [10:07:59.717] getCompletionData: Get previous token 1: 0.025377999991178513
Info 68   [10:07:59.717] getCompletionsAtPosition: isCompletionListBlocker: 0.002705000340938568
Info 69   [10:07:59.717] getCompletionData: Semantic work: 0.08562000002712011
Info 70   [10:07:59.717] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.03277099970728159
Info 71   [10:07:59.783] getCompletionData: Get current token: 0.019727000035345554
Info 72   [10:07:59.784] getCompletionData: Is inside comment: 0.0404660003259778
Info 73   [10:07:59.784] getCompletionData: Get previous token 1: 0.02721099928021431
Info 74   [10:07:59.784] getCompletionsAtPosition: isCompletionListBlocker: 0.003295999951660633
Info 75   [10:07:59.784] getCompletionData: Semantic work: 0.07453999947756529
Info 76   [10:07:59.784] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.03155899979174137
Info 77   [10:07:59.786] getCompletionData: Get current token: 0.013915999792516232
Info 78   [10:07:59.786] getCompletionData: Is inside comment: 0.027962000109255314
Info 79   [10:07:59.786] getCompletionData: Get previous token 1: 0.025066999718546867
Info 80   [10:07:59.786] getCompletionsAtPosition: isCompletionListBlocker: 0.002213999629020691
Info 81   [10:07:59.786] getCompletionData: Semantic work: 0.04115800000727177
Info 82   [10:07:59.786] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.015269000083208084
Info 83   [10:07:59.997] Before ensureProjectForOpenFiles:
Info 84   [10:07:59.997] After ensureProjectForOpenFiles:
Info 85   [10:07:59.997] got projects updated in background, updating diagnostics for /home/marco/gamedev/flappywebgl/main.js
Info 86   [10:08:02.654] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 87   [10:08:02.665] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false Elapsed: 10.659634000621736ms
Info 88   [10:08:02.665] Different program with same set of files:: structureIsReused:: 2
Info 89   [10:08:03.629] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 90   [10:08:03.642] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false Elapsed: 12.1465729996562ms
Info 91   [10:08:03.642] Different program with same set of files:: structureIsReused:: 2
Info 92   [10:08:03.642] getCompletionData: Get current token: 0.015980000607669353
Info 93   [10:08:03.643] getCompletionData: Is inside comment: 0.2128090001642704
Info 94   [10:08:03.643] getCompletionData: Get previous token 1: 0.024635999463498592
Info 95   [10:08:03.643] getCompletionData: Get previous token 2: 0.019356999546289444
Info 96   [10:08:03.643] getCompletionsAtPosition: isCompletionListBlocker: 0.002915000542998314
Info 97   [10:08:03.649] collectAutoImports: starting, not resolving module specifiers
Info 98   [10:08:03.649] collectAutoImports: module specifier cache size: 0
Info 99   [10:08:03.655] getSymbolToExportInfoMap: cache miss or empty; calculating new results
Info 100  [10:08:03.725] getSymbolToExportInfoMap: caching results
Info 101  [10:08:03.725] getSymbolToExportInfoMap: done in 75.9289779998362 ms
Info 102  [10:08:03.736] collectAutoImports: done in 86.76679600030184 ms
Info 103  [10:08:03.736] getCompletionData: Semantic work: 92.9581590006128
Info 104  [10:08:03.750] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 14.423573999665678
Info 105  [10:08:03.761] getCompletionData: Get current token: 0.01306500006467104
Info 106  [10:08:03.761] getCompletionData: Is inside comment: 0.02911500073969364
Info 107  [10:08:03.761] getCompletionData: Get previous token 1: 0.024977000430226326
Info 108  [10:08:03.761] getCompletionData: Get previous token 2: 0.027180999517440796
Info 109  [10:08:03.761] getCompletionsAtPosition: isCompletionListBlocker: 0.004568000324070454
Info 110  [10:08:03.763] collectAutoImports: starting, not resolving module specifiers
Info 111  [10:08:03.763] collectAutoImports: module specifier cache size: 0
Info 112  [10:08:03.768] getSymbolToExportInfoMap: cache hit
Info 113  [10:08:03.774] collectAutoImports: done in 10.786651999689639 ms
Info 114  [10:08:03.774] getCompletionData: Semantic work: 13.148753000423312
Info 115  [10:08:03.787] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 12.633325999602675
Info 116  [10:08:03.790] getCompletionData: Get current token: 0.009197000414133072
Info 117  [10:08:03.790] getCompletionData: Is inside comment: 0.023104000836610794
Info 118  [10:08:03.790] getCompletionData: Get previous token 1: 0.019475999288260937
Info 119  [10:08:03.790] getCompletionData: Get previous token 2: 0.015188999474048615
Info 120  [10:08:03.790] getCompletionsAtPosition: isCompletionListBlocker: 0.0027250004932284355
Info 121  [10:08:03.792] collectAutoImports: starting, not resolving module specifiers
Info 122  [10:08:03.792] collectAutoImports: module specifier cache size: 0
Info 123  [10:08:03.795] getSymbolToExportInfoMap: cache hit
Info 124  [10:08:03.799] collectAutoImports: done in 6.401566999964416 ms
Info 125  [10:08:03.799] getCompletionData: Semantic work: 8.411488000303507
Info 126  [10:08:03.807] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 7.693931999616325
Info 127  [10:08:03.811] getCompletionData: Get current token: 0.010881000198423862
Info 128  [10:08:03.811] getCompletionData: Is inside comment: 0.02446599956601858
Info 129  [10:08:03.811] getCompletionData: Get previous token 1: 0.01976700033992529
Info 130  [10:08:03.811] getCompletionData: Get previous token 2: 0.015068000182509422
Info 131  [10:08:03.811] getCompletionsAtPosition: isCompletionListBlocker: 0.003386000171303749
Info 132  [10:08:03.813] collectAutoImports: starting, not resolving module specifiers
Info 133  [10:08:03.813] collectAutoImports: module specifier cache size: 0
Info 134  [10:08:03.816] getSymbolToExportInfoMap: cache hit
Info 135  [10:08:03.819] collectAutoImports: done in 5.8831940004602075 ms
Info 136  [10:08:03.819] getCompletionData: Semantic work: 7.994795999489725
Info 137  [10:08:03.825] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 5.794759000651538
Info 138  [10:08:03.828] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 139  [10:08:03.844] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false Elapsed: 15.914501000195742ms
Info 140  [10:08:03.844] Different program with same set of files:: structureIsReused:: 2
Info 141  [10:08:04.007] getCompletionData: Get current token: 0.023454000242054462
Info 142  [10:08:04.007] getCompletionData: Is inside comment: 0.04501400049775839
Info 143  [10:08:04.007] getCompletionData: Get previous token 1: 0.021429999731481075
Info 144  [10:08:04.007] getCompletionsAtPosition: isCompletionListBlocker: 0.0027649998664855957
Info 145  [10:08:04.009] getCompletionData: Semantic work: 1.271705999970436
Info 146  [10:08:04.010] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.03519599977880716
Info 147  [10:08:04.042] getCompletionData: Get current token: 0.012072999961674213
Info 148  [10:08:04.042] getCompletionData: Is inside comment: 0.024796999990940094
Info 149  [10:08:04.042] getCompletionData: Get previous token 1: 0.020739000290632248
Info 150  [10:08:04.042] getCompletionsAtPosition: isCompletionListBlocker: 0.0033160001039505005
Info 151  [10:08:04.042] getCompletionData: Semantic work: 0.11425399966537952
Info 152  [10:08:04.042] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.15826700069010258
Info 153  [10:08:04.063] getCompletionData: Get current token: 0.01820399984717369
Info 154  [10:08:04.063] getCompletionData: Is inside comment: 0.04551499988883734
Info 155  [10:08:04.063] getCompletionData: Get previous token 1: 0.038061000406742096
Info 156  [10:08:04.063] getCompletionsAtPosition: isCompletionListBlocker: 0.004187999293208122
Info 157  [10:08:04.063] getCompletionData: Semantic work: 0.12929200008511543
Info 158  [10:08:04.063] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.04053600039333105
Info 159  [10:08:04.085] getCompletionData: Get current token: 0.009808000177145004
Info 160  [10:08:04.085] getCompletionData: Is inside comment: 0.027682000771164894
Info 161  [10:08:04.085] getCompletionData: Get previous token 1: 0.02024799957871437
Info 162  [10:08:04.085] getCompletionsAtPosition: isCompletionListBlocker: 0.0029460005462169647
Info 163  [10:08:04.085] getCompletionData: Semantic work: 0.07986999955028296
Info 164  [10:08:04.085] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.02393500041216612
Info 165  [10:08:05.829] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 166  [10:08:05.849] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: false Elapsed: 19.759502000175416ms
Info 167  [10:08:05.849] Different program with same set of files:: structureIsReused:: 2
Info 168  [10:09:40.127] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 169  [10:09:40.157] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: false Elapsed: 29.953052000142634ms
Info 170  [10:09:40.157] Different program with same set of files:: structureIsReused:: 2
Info 171  [10:09:40.408] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 172  [10:09:40.430] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 14 structureChanged: false Elapsed: 22.062552000395954ms
Info 173  [10:09:40.430] Different program with same set of files:: structureIsReused:: 2
Info 174  [10:09:40.432] getCompletionData: Get current token: 0.025778000243008137
Info 175  [10:09:40.432] getCompletionData: Is inside comment: 0.06070400029420853
Info 176  [10:09:40.432] getCompletionData: Get previous token 1: 0.05071499943733215
Info 177  [10:09:40.432] getCompletionsAtPosition: isCompletionListBlocker: 0.004677999764680862
Info 178  [10:09:40.433] getCompletionData: Semantic work: 1.2771250000223517
Info 179  [10:09:40.433] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.03944400046020746
Info 180  [10:09:40.514] getCompletionData: Get current token: 0.013024000450968742
Info 181  [10:09:40.514] getCompletionData: Is inside comment: 0.03264100011438131
Info 182  [10:09:40.514] getCompletionData: Get previous token 1: 0.027701999992132187
Info 183  [10:09:40.514] getCompletionsAtPosition: isCompletionListBlocker: 0.0023939991369843483
Info 184  [10:09:40.514] getCompletionData: Semantic work: 0.2143919998779893
Info 185  [10:09:40.514] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.027161000296473503
Info 186  [10:09:40.515] getCompletionData: Get current token: 0.012502999976277351
Info 187  [10:09:40.515] getCompletionData: Is inside comment: 0.0353970006108284
Info 188  [10:09:40.515] getCompletionData: Get previous token 1: 0.028292999602854252
Info 189  [10:09:40.515] getCompletionsAtPosition: isCompletionListBlocker: 0.003235999494791031
Info 190  [10:09:40.515] getCompletionData: Semantic work: 0.060883999802172184
Info 191  [10:09:40.515] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.014948000200092793
Info 192  [10:09:40.516] getCompletionData: Get current token: 0.012343000620603561
Info 193  [10:09:40.516] getCompletionData: Is inside comment: 0.03059800062328577
Info 194  [10:09:40.516] getCompletionData: Get previous token 1: 0.026950999163091183
Info 195  [10:09:40.516] getCompletionsAtPosition: isCompletionListBlocker: 0.0019040005281567574
Info 196  [10:09:40.516] getCompletionData: Semantic work: 0.0532200001180172
Info 197  [10:09:40.516] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.01398599985986948
Info 198  [10:09:41.023] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 199  [10:09:41.045] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 15 structureChanged: false Elapsed: 21.60184800066054ms
Info 200  [10:09:41.045] Different program with same set of files:: structureIsReused:: 2
Info 201  [10:09:41.046] getCompletionData: Get current token: 0.026429000310599804
Info 202  [10:09:41.046] getCompletionData: Is inside comment: 0.06480200029909611
Info 203  [10:09:41.046] getCompletionData: Get previous token 1: 0.055013000033795834
Info 204  [10:09:41.046] getCompletionsAtPosition: isCompletionListBlocker: 0.004639000631868839
Info 205  [10:09:41.054] getCompletionData: Semantic work: 7.8697810005396605
Info 206  [10:09:41.054] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.05310000013560057
Info 207  [10:09:41.063] getCompletionData: Get current token: 0.11961499974131584
Info 208  [10:09:41.063] getCompletionData: Is inside comment: 0.082825000397861
Info 209  [10:09:41.063] getCompletionData: Get previous token 1: 0.06617399957031012
Info 210  [10:09:41.063] getCompletionsAtPosition: isCompletionListBlocker: 0.006662999279797077
Info 211  [10:09:41.063] getCompletionData: Semantic work: 0.128260999917984
Info 212  [10:09:41.063] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.044374000281095505
Info 213  [10:09:41.069] getCompletionData: Get current token: 0.024046000093221664
Info 214  [10:09:41.069] getCompletionData: Is inside comment: 0.05299999937415123
Info 215  [10:09:41.069] getCompletionData: Get previous token 1: 0.04589600022882223
Info 216  [10:09:41.069] getCompletionsAtPosition: isCompletionListBlocker: 0.012113000266253948
Info 217  [10:09:41.069] getCompletionData: Semantic work: 0.07885800022631884
Info 218  [10:09:41.069] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.029815999791026115
Info 219  [10:09:41.129] getCompletionData: Get current token: 0.013074999675154686
Info 220  [10:09:41.129] getCompletionData: Is inside comment: 0.02858399972319603
Info 221  [10:09:41.129] getCompletionData: Get previous token 1: 0.0259790001437068
Info 222  [10:09:41.129] getCompletionsAtPosition: isCompletionListBlocker: 0.00506999995559454
Info 223  [10:09:41.129] getCompletionData: Semantic work: 0.062267000786960125
Info 224  [10:09:41.129] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.027881999500095844
Info 225  [10:09:43.432] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 226  [10:09:43.457] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 16 structureChanged: false Elapsed: 24.714956999756396ms
Info 227  [10:09:43.457] Different program with same set of files:: structureIsReused:: 2
Info 228  [10:09:43.460] getCompletionData: Get current token: 0.03258099965751171
Info 229  [10:09:43.460] getCompletionData: Is inside comment: 0.04794999957084656
Info 230  [10:09:43.460] getCompletionData: Get previous token 1: 0.0911909993737936
Info 231  [10:09:43.460] getCompletionData: Get previous token 2: 0.049904000014066696
Info 232  [10:09:43.461] getCompletionsAtPosition: isCompletionListBlocker: 0.010088999755680561
Info 233  [10:09:43.466] getCompletionData: Semantic work: 5.709929999895394
Info 234  [10:09:43.466] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.0443529998883605
Info 235  [10:09:43.473] getCompletionData: Get current token: 0.024656000547111034
Info 236  [10:09:43.473] getCompletionData: Is inside comment: 0.044382999651134014
Info 237  [10:09:43.473] getCompletionData: Get previous token 1: 0.036859000101685524
Info 238  [10:09:43.474] getCompletionData: Get previous token 2: 0.0428909994661808
Info 239  [10:09:43.474] getCompletionsAtPosition: isCompletionListBlocker: 0.006492000073194504
Info 240  [10:09:43.474] getCompletionData: Semantic work: 0.07863799948245287
Info 241  [10:09:43.474] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.03208000026643276
Info 242  [10:09:43.534] getCompletionData: Get current token: 0.012533999979496002
Info 243  [10:09:43.534] getCompletionData: Is inside comment: 0.02311299927532673
Info 244  [10:09:43.534] getCompletionData: Get previous token 1: 0.018894999288022518
Info 245  [10:09:43.534] getCompletionData: Get previous token 2: 0.02339399978518486
Info 246  [10:09:43.534] getCompletionsAtPosition: isCompletionListBlocker: 0.0037170005962252617
Info 247  [10:09:43.534] getCompletionData: Semantic work: 0.05471200030297041
Info 248  [10:09:43.534] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.02484700083732605
Info 249  [10:09:43.556] getCompletionData: Get current token: 0.02493700012564659
Info 250  [10:09:43.556] getCompletionData: Is inside comment: 0.041588000021874905
Info 251  [10:09:43.557] getCompletionData: Get previous token 1: 0.04071599990129471
Info 252  [10:09:43.557] getCompletionData: Get previous token 2: 0.03809199947863817
Info 253  [10:09:43.557] getCompletionsAtPosition: isCompletionListBlocker: 0.008286000229418278
Info 254  [10:09:43.558] getCompletionData: Semantic work: 1.3103080000728369
Info 255  [10:09:43.558] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.04288000054657459
Info 256  [10:09:44.776] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 257  [10:09:44.787] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 17 structureChanged: false Elapsed: 10.912038000300527ms
Info 258  [10:09:44.787] Different program with same set of files:: structureIsReused:: 2
Info 259  [10:09:44.788] getCompletionData: Get current token: 0.01537800021469593
Info 260  [10:09:44.788] getCompletionData: Is inside comment: 0.023914000019431114
Info 261  [10:09:44.788] getCompletionData: Get previous token 1: 0.01892599929124117
Info 262  [10:09:44.788] getCompletionData: Get previous token 2: 0.024226000532507896
Info 263  [10:09:44.788] getCompletionsAtPosition: isCompletionListBlocker: 0.002303999848663807
Info 264  [10:09:44.792] getCompletionData: Semantic work: 3.794937999919057
Info 265  [10:09:44.792] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.038631999865174294
Info 266  [10:09:44.847] getCompletionData: Get current token: 0.017813000828027725
Info 267  [10:09:44.847] getCompletionData: Is inside comment: 0.03282199986279011
Info 268  [10:09:44.847] getCompletionData: Get previous token 1: 0.02774200029671192
Info 269  [10:09:44.847] getCompletionData: Get previous token 2: 0.02791300043463707
Info 270  [10:09:44.847] getCompletionsAtPosition: isCompletionListBlocker: 0.002814999781548977
Info 271  [10:09:44.847] getCompletionData: Semantic work: 0.05697700008749962
Info 272  [10:09:44.848] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.04561599995940924
Info 273  [10:09:44.849] getCompletionData: Get current token: 0.011891999281942844
Info 274  [10:09:44.849] getCompletionData: Is inside comment: 0.021050000563263893
Info 275  [10:09:44.849] getCompletionData: Get previous token 1: 0.0180440004914999
Info 276  [10:09:44.849] getCompletionData: Get previous token 2: 0.02246199920773506
Info 277  [10:09:44.849] getCompletionsAtPosition: isCompletionListBlocker: 0.0020639998838305473
Info 278  [10:09:44.849] getCompletionData: Semantic work: 0.03378299996256828
Info 279  [10:09:44.850] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.014336000196635723
Info 280  [10:09:44.851] getCompletionData: Get current token: 0.012102999724447727
Info 281  [10:09:44.851] getCompletionData: Is inside comment: 0.02244199998676777
Info 282  [10:09:44.851] getCompletionData: Get previous token 1: 0.01854499988257885
Info 283  [10:09:44.851] getCompletionData: Get previous token 2: 0.019445999525487423
Info 284  [10:09:44.851] getCompletionsAtPosition: isCompletionListBlocker: 0.0019939998164772987
Info 285  [10:09:44.851] getCompletionData: Semantic work: 0.03613799996674061
Info 286  [10:09:44.851] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 0.015289000235497952
Info 287  [10:09:45.920] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 288  [10:09:45.934] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 18 structureChanged: false Elapsed: 13.830600999295712ms
Info 289  [10:09:45.934] Different program with same set of files:: structureIsReused:: 2
Info 290  [10:09:47.610] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 291  [10:09:47.621] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 19 structureChanged: false Elapsed: 11.668425999581814ms
Info 292  [10:09:47.621] Different program with same set of files:: structureIsReused:: 2
Info 293  [10:09:47.999] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 294  [10:09:48.007] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 20 structureChanged: false Elapsed: 8.534748000092804ms
Info 295  [10:09:48.007] Different program with same set of files:: structureIsReused:: 2
Info 296  [10:09:49.930] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 297  [10:09:49.968] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 21 structureChanged: false Elapsed: 38.2265499997884ms
Info 298  [10:09:49.968] Different program with same set of files:: structureIsReused:: 2
Info 299  [10:09:51.717] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 300  [10:09:51.729] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 22 structureChanged: false Elapsed: 12.043859999626875ms
Info 301  [10:09:51.729] Different program with same set of files:: structureIsReused:: 2
Info 302  [10:09:52.111] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 303  [10:09:52.124] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 23 structureChanged: false Elapsed: 13.084201000630856ms
Info 304  [10:09:52.124] Different program with same set of files:: structureIsReused:: 2
Info 305  [10:09:52.758] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 306  [10:09:52.776] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 24 structureChanged: false Elapsed: 17.85437799990177ms
Info 307  [10:09:52.776] Different program with same set of files:: structureIsReused:: 2
Info 308  [10:09:52.778] getCompletionData: Get current token: 0.024455999955534935
Info 309  [10:09:52.778] getCompletionData: Is inside comment: 0.04937299992889166
Info 310  [10:09:52.778] getCompletionData: Get previous token 1: 0.037078999914228916
Info 311  [10:09:52.778] getCompletionData: Get previous token 2: 0.05583500023931265
Info 312  [10:09:52.778] getCompletionsAtPosition: isCompletionListBlocker: 0.25935699976980686
Info 313  [10:09:52.789] collectAutoImports: starting, not resolving module specifiers
Info 314  [10:09:52.790] collectAutoImports: module specifier cache size: 0
Info 315  [10:09:52.806] getSymbolToExportInfoMap: cache hit
Info 316  [10:09:52.822] collectAutoImports: done in 32.61283100023866 ms
Info 317  [10:09:52.822] getCompletionData: Semantic work: 43.67441900074482
Info 318  [10:09:52.831] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 9.206819000653923
Info 319  [10:09:54.216] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 320  [10:09:54.230] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 25 structureChanged: false Elapsed: 14.437810000032187ms
Info 321  [10:09:54.231] Different program with same set of files:: structureIsReused:: 2
Info 322  [10:09:56.412] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 323  [10:09:56.429] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 26 structureChanged: false Elapsed: 16.58123099990189ms
